date,total_sales,day_of_week,month,is_weekend,sales_lag_1,rolling_avg_3,rolling_std_3
2014-02-12,129.57,2,2,0,468.9,213.00333333333333,226.03962757298405
2014-03-01,457.57,5,3,1,129.57,352.0133333333333,192.72485473683287
2014-03-03,19.46,0,3,0,457.57,202.19999999999996,227.90662715243715
2014-03-21,13.46,4,3,1,19.46,163.49666666666667,254.6926462097666
2014-04-13,630.75,6,4,1,13.46,221.22333333333336,354.673184824189
2014-04-16,39.07,2,4,0,630.75,227.76000000000002,349.23440995984345
2014-05-11,225.01,6,5,1,39.07,298.2766666666667,302.5678583943333
2014-05-13,55.5,1,5,0,225.01,106.5266666666667,102.93790085936911
2014-06-01,4080.31,6,6,1,55.5,1453.6066666666666,2276.370183215668
2014-06-07,12.46,5,6,1,4080.31,1382.7566666666664,2336.2488309324704
2014-06-09,3856.63,0,6,0,12.46,2649.7999999999997,2286.7400141467765
2014-06-22,196.75,6,6,1,3856.63,1355.2800000000002,2168.1915431760176
2014-07-12,706.0600000000001,5,7,1,196.75,1586.4800000000002,1982.4315715554978
2014-07-22,165.94,1,7,0,706.0600000000001,356.25000000000017,303.33577286565156
2014-07-23,2552.48,2,7,0,165.94,1141.4933333333336,1251.4371473363474
2014-08-03,221.35,6,8,1,2552.48,979.9233333333335,1362.1557985169447
2014-08-05,472.03999999999996,1,8,0,221.35,1081.9566666666667,1279.6642233153723
2014-08-08,1722.06,4,8,1,472.03999999999996,805.1500000000001,803.8994527302539
2014-08-09,193.93,5,8,1,1722.06,796.0100000000001,813.948858897168
2014-08-25,199.26,0,8,0,193.93,705.0833333333335,880.7316604013591
2014-08-26,176.8,1,8,0,199.26,189.9966666666668,11.73525599784609
2014-08-27,244.76,2,8,0,176.8,206.94000000000014,34.62480613666523
2014-09-08,10539.9,0,9,0,244.76,3653.8199999999997,5963.617020332543
2014-09-12,69.99,4,9,1,10539.9,3618.216666666667,5994.9905140403125
2014-09-13,18.65,5,9,1,69.99,3542.846666666667,6059.68031013463
2014-09-14,558.96,6,9,1,18.65,215.86666666666727,298.23434650175705
2014-09-19,5587.1,4,9,1,558.96,2054.903333333334,3070.878325989705
2014-09-20,617.7,5,9,1,5587.1,2254.5866666666675,2886.1906441767383
2014-09-21,2046.35,6,9,1,617.7,2750.3833333333337,2558.4138232180767
2014-09-24,211.96,2,9,0,2046.35,958.6700000000005,963.556990374726
2014-09-27,87.54,5,9,1,211.96,781.9500000000006,1096.768254509584
2014-10-06,9.09,0,10,0,87.54,102.86333333333396,102.2993774826259
2014-10-12,36.29,6,10,1,9.09,44.306666666667276,39.83466873632509
2014-10-20,211.96,0,10,0,36.29,85.7800000000006,110.1181379246827
2014-10-22,93.89,2,10,0,211.96,114.04666666666726,89.5528091872767
2014-10-29,2735.95,2,10,0,93.89,1013.9333333333338,1492.4782013260137
2014-11-04,4807.37,1,11,0,2735.95,2545.736666666667,2362.490055372368
2014-11-09,1517.58,6,11,1,4807.37,3020.3000000000006,1663.2260077632263
2014-11-11,665.88,1,11,0,1517.58,2330.2766666666676,2187.0852198836083
2014-11-19,682.91,2,11,0,665.88,955.4566666666673,486.88755029609285
2014-11-24,2.62,0,11,0,682.91,450.47000000000054,387.94293665434395
2014-11-26,19.3,2,11,0,2.62,234.94333333333392,388.04014796581214
2014-12-05,1714.55,4,12,1,19.3,578.8233333333338,983.603503264059
2014-12-19,252.61,4,12,1,1714.55,662.153333333334,918.8375520369908
2014-12-24,9.57,2,12,0,252.61,658.9100000000007,922.2521171566897
2014-12-26,1455.83,4,12,1,9.57,572.6700000000006,774.4325662057327
2014-12-28,99.14,6,12,1,1455.83,521.513333333334,810.3804177257307
2014-12-30,9.84,1,12,0,99.14,521.6033333333339,810.2951443969844
2015-01-02,1816.69,4,1,1,9.84,641.8900000000007,1018.3859300383115
2015-01-17,254.74,5,1,1,1816.69,693.7566666666672,980.167565181245
2015-01-31,99.26,5,1,1,254.74,723.5633333333341,949.8620634772873
2015-02-09,20.8,0,2,0,99.26,124.93333333333395,119.0643562672284
2015-02-28,551.27,5,2,1,20.8,223.77666666666724,286.31783987961626
2015-03-02,787.53,0,3,0,551.27,453.20000000000056,392.6601799266084
2015-03-16,6412.7699999999995,0,3,0,787.53,2583.856666666667,3318.039734923819
2015-03-22,162.07,6,3,1,6412.7699999999995,2454.1233333333334,3442.5227125660813
2015-04-05,157.79,6,4,1,162.07,2244.2100000000005,3610.079491479377
2015-04-18,209.55,5,4,1,157.79,176.4700000000006,28.72793762177012
2015-04-26,1001.7600000000001,6,4,1,209.55,456.3666666666673,473.03296971071006
2015-04-28,44.66,1,4,0,1001.7600000000001,418.65666666666726,511.66815518784597
2015-04-30,213.12,3,4,0,44.66,419.8466666666673,510.94230450544376
2015-05-04,26.8,0,5,0,213.12,94.86000000000057,102.80474502667889
2015-05-28,6.63,3,5,0,26.8,82.1833333333339,113.84206267164087
